Vivado Simulator 2018.2
Time resolution is 1 ps
clk = 1, rst = 1, clk_1s = 0
clk = 1, rst = 1, clk_1s = 0
clk = 1, rst = 1, clk_1s = 0
clk = 1, rst = 1, clk_1s = 0
clk = 1, rst = 1, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 0
clk = 1, rst = 0, clk_1s = 1
clk = 1, rst = 0, clk_1s = 1
